,amplicon,mean,mean+2std,mean-2std,min
66,1-25881232-25881480-PGD139_LDLRAP1_68,4917.914438502674,6217.890671792585,3617.938205212763,2657
682,2-21266059-21266221-PGD139_APOB_235,4930.75935828877,7757.661961184864,2103.856755392677,2413
280,1-55526430-55526680-PGD139_PCSK9_128,4940.860962566845,6191.253214011844,3690.4687111218464,3250
624,2-21256300-21256527-PGD139_APOB_177,4948.326203208556,7224.053614278886,2672.5987921382257,2556
616,2-21254934-21255159-PGD139_APOB_169,4958.465240641711,6952.224841146128,2964.7056401372943,2837
519,2-21236645-21236890-PGD139_APOB_72,4978.256684491978,6512.174934400022,3444.338434583935,2349
123,1-25890450-25890721-PGD139_LDLRAP1_125,4994.491978609625,7412.785381737585,2576.1985754816646,475
70,1-25881875-25882100-PGD139_LDLRAP1_72,5004.24064171123,7801.7183542349885,2206.762929187471,3159
78,1-25883230-25883500-PGD139_LDLRAP1_80,5013.989304812834,7300.405432558921,2727.573177066747,1035
301,1-55529896-55530168-PGD139_PCSK9_149,5021.855614973262,7222.400616390027,2821.310613556498,653
706,8-19796829-19797060-PGD139_LPL_1,5027.593582887701,8155.752954815302,1899.4342109601002,1039
588,2-21249000-21249114-PGD139_APOB_141,5036.855614973262,8367.945000866215,1705.7662290803087,1972
730,8-19822687-19822953-PGD139_LPL_25,5039.053475935829,6899.35091697717,3178.756034894488,2235
611,2-21254010-21254269-PGD139_APOB_164,5039.786096256685,6987.409613362564,3092.162579150805,2998
720,8-19813212-19813445-PGD139_LPL_15,5054.197860962567,6555.4126642379,3552.9830576872337,3070
53,1-25879083-25879352-PGD139_LDLRAP1_55,5078.187165775401,6549.439872073405,3606.9344594773966,2380
139,1-25893142-25893405-PGD139_LDLRAP1_141,5109.395721925133,8091.346028069334,2127.4454157809323,463
396,19-11221958-11222208-PGD139_LDLR_29,5116.122994652406,6745.793046165394,3486.4529431394185,1638
40,1-25877008-25877264-PGD139_LDLRAP1_42,5119.8395721925135,6706.971733875568,3532.707410509459,1737
174,1-55508660-55508910-PGD139_PCSK9_22,5140.122994652406,6614.241402023023,3666.00458728179,3323
36,1-25876276-25876542-PGD139_LDLRAP1_38,5142.262032085561,7944.868668850576,2339.6553953205466,2784
523,2-21237267-21237507-PGD139_APOB_76,5148.411764705882,6455.822957801033,3841.0005716107307,3815
676,2-21265250-21265460-PGD139_APOB_229,5149.443850267379,7356.60322819619,2942.284472338569,2620
550,2-21242542-21242768-PGD139_APOB_103,5150.299465240641,7430.953951712785,2869.6449787684983,2466
98,1-25886447-25886618-PGD139_LDLRAP1_100,5153.010695187166,7317.092402043123,2988.928988331208,3087
298,1-55529431-55529697-PGD139_PCSK9_146,5164.117647058823,6603.069067938227,3725.16622617942,2192
697,4-68449157-68449407-PGD139_STAP1_12,5167.529411764706,6925.087667812826,3409.971155716586,1517
138,1-25892936-25893175-PGD139_LDLRAP1_140,5180.743315508022,7232.817082648971,3128.6695483670715,1731
239,1-55519258-55519508-PGD139_PCSK9_87,5183.812834224599,7532.947675880953,2834.677992568245,1017
108,1-25888169-25888392-PGD139_LDLRAP1_110,5185.550802139038,7803.138431044212,2567.9631732338635,3101
